time,latitude,longitude,depth,mag,magType,id,place,type,status,region,influence
2000-05-04 04:21:16.210000+00:00,-1.105,123.573,26.0,7.6,mwc,usp0009sbh,"Sulawesi, Indonesia",earthquake,reviewed,Indonesia,7.6
2000-03-28 11:00:22.510000+00:00,22.338,143.73,126.5,7.6,mwc,usp0009qb4,"Volcano Islands, Japan region",earthquake,reviewed,Japan region,7.6
2000-02-25 01:43:58.640000+00:00,-19.528,173.81799999999996,33.0,7.1,mwc,usp0009nxg,Vanuatu region,earthquake,reviewed,Vanuatu region,7.1
2000-01-08 16:47:20.580000+00:00,-16.925,-174.248,183.4,7.2,mwc,usp0009kx3,Tonga,earthquake,reviewed,Tonga,7.2
1999-12-11 18:03:36.450000+00:00,15.765999999999998,119.74,33.0,7.3,mwc,usp0009jr8,"Luzon, Philippines",earthquake,reviewed,Philippines,7.3
1999-11-26 13:21:15.570000+00:00,-16.423,168.21400000000003,33.0,7.5,mwc,usp0009j4n,Vanuatu,earthquake,reviewed,Vanuatu,7.5
1999-11-12 16:57:19.550000+00:00,40.758,31.161,10.0,7.2,mwc,usp0009hev,western Turkey,earthquake,reviewed,western Turkey,8.2
1999-10-16 09:46:44.460000+00:00,34.6033333,-116.265,13.73,7.1,mw,ci9108652,"16km SW of Ludlow, CA",earthquake,reviewed,CA,8.1
1999-09-30 16:31:15.690000+00:00,16.059,-96.931,60.6,7.5,mwc,usp0009f7v,"Oaxaca, Mexico",earthquake,reviewed,Mexico,7.5
1999-09-20 17:47:18.490000+00:00,23.772,120.982,33.0,7.7,mwc,usp0009eq0,Taiwan,earthquake,reviewed,Taiwan,7.7
1999-08-17 00:01:39.130000+00:00,40.74800000000001,29.864,17.0,7.6,mwc,usp0009d4z,western Turkey,earthquake,reviewed,western Turkey,7.6
